60,85,42,85,42,91
95,75,80,100,110,30
60,60,60,85,85,85
48,72,48,72,48,48
190,33,58,33,58,33
70,80,65,90,65,85
50,65,90,35,35,15
75,90,140,60,60,40
100,70,70,65,65,45
65,75,105,35,65,85
75,85,200,55,65,30
60,80,50,40,40,30
90,120,75,60,60,45
65,95,75,55,55,85
70,130,100,55,80,65
20,10,230,10,230,5
80,125,75,40,95,85
55,95,55,35,75,115
60,80,50,50,50,40
90,130,75,75,75,55
40,40,40,70,40,20
50,50,120,80,80,30
50,50,40,30,30,50
100,100,80,60,60,50
55,55,85,65,85,35
35,65,35,65,35,65
75,105,75,105,75,45
45,55,45,65,45,75
65,40,70,80,140,70
65,80,140,40,70,70
45,60,30,80,50,65
75,90,50,110,80,95
75,95,95,95,95,85
90,60,60,40,40,40
90,120,120,60,60,50
85,80,90,105,95,60
73,95,62,85,65,85
55,20,35,20,45,75
35,35,35,35,35,35
50,95,95,35,110,70
45,30,15,85,65,65
45,63,37,65,55,95
45,75,37,70,55,83
95,80,105,40,70,100
255,10,10,75,135,55
90,85,75,115,100,115
115,115,85,90,75,100
100,75,115,90,115,85
50,64,50,45,50,41
70,84,70,65,70,51
100,134,110,95,100,61
106,90,130,90,154,110
106,130,90,110,154,90
100,100,100,100,100,100
